iter	Passed	Remaining
0	1	116
1	2	109
2	3	107
3	4	101
4	5	105
5	6	106
6	7	105
7	8	103
8	9	101
9	11	100
10	12	97
11	13	95
12	13	93
13	14	91
14	15	89
15	16	88
16	17	86
17	18	85
18	19	83
19	20	82
20	21	81
21	22	79
22	23	78
23	24	76
24	25	76
25	26	75
26	27	74
27	28	72
28	29	71
29	30	70
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	58
40	40	58
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	48
49	47	47
50	48	47
51	49	46
52	50	45
53	51	44
54	52	42
55	53	41
56	54	40
57	55	39
58	56	39
59	57	38
60	57	37
61	58	36
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	20
78	75	19
79	76	19
80	76	18
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
